experiment,collection_window,metric,scope,sample_index,value,unit
correlation-fio-randread-cores1,pcm_memory,memreadbw,SKT0CHAN0,0,12.01,MB/s
correlation-fio-randread-cores1,pcm_memory,memreadbw,SKT0CHAN0,1,8.19,MB/s
correlation-fio-randread-cores1,pcm_memory,memreadbw,SKT0CHAN0,2,7.9,MB/s
correlation-fio-randread-cores1,pcm_memory,memreadbw,SKT0CHAN0,3,7.91,MB/s
correlation-fio-randread-cores1,pcm_memory,memreadbw,SKT0CHAN1,0,12.87,MB/s
correlation-fio-randread-cores1,pcm_memory,memreadbw,SKT0CHAN1,1,9.04,MB/s
correlation-fio-randread-cores1,pcm_memory,memreadbw,SKT0CHAN1,2,8.63,MB/s
correlation-fio-randread-cores1,pcm_memory,memreadbw,SKT0CHAN1,3,8.68,MB/s
correlation-fio-randread-cores1,pcm_memory,memreadbw,SKT0CHAN2,0,11.7,MB/s
correlation-fio-randread-cores1,pcm_memory,memreadbw,SKT0CHAN2,1,7.95,MB/s
correlation-fio-randread-cores1,pcm_memory,memreadbw,SKT0CHAN2,2,7.67,MB/s
correlation-fio-randread-cores1,pcm_memory,memreadbw,SKT0CHAN2,3,7.74,MB/s
correlation-fio-randread-cores1,pcm_memory,memreadbw,SKT0CHAN3,0,12.31,MB/s
correlation-fio-randread-cores1,pcm_memory,memreadbw,SKT0CHAN3,1,8.65,MB/s
correlation-fio-randread-cores1,pcm_memory,memreadbw,SKT0CHAN3,2,8.3,MB/s
correlation-fio-randread-cores1,pcm_memory,memreadbw,SKT0CHAN3,3,8.36,MB/s
correlation-fio-randread-cores1,pcm_memory,memreadbw,SKT0CHAN4,0,11.8,MB/s
correlation-fio-randread-cores1,pcm_memory,memreadbw,SKT0CHAN4,1,8.09,MB/s
correlation-fio-randread-cores1,pcm_memory,memreadbw,SKT0CHAN4,2,7.77,MB/s
correlation-fio-randread-cores1,pcm_memory,memreadbw,SKT0CHAN4,3,7.78,MB/s
correlation-fio-randread-cores1,pcm_memory,memreadbw,SKT0CHAN5,0,11.85,MB/s
correlation-fio-randread-cores1,pcm_memory,memreadbw,SKT0CHAN5,1,8.15,MB/s
correlation-fio-randread-cores1,pcm_memory,memreadbw,SKT0CHAN5,2,7.83,MB/s
correlation-fio-randread-cores1,pcm_memory,memreadbw,SKT0CHAN5,3,7.85,MB/s
correlation-fio-randread-cores1,pcm_memory,memreadbw,SKT0CHAN6,0,12.32,MB/s
correlation-fio-randread-cores1,pcm_memory,memreadbw,SKT0CHAN6,1,8.44,MB/s
correlation-fio-randread-cores1,pcm_memory,memreadbw,SKT0CHAN6,2,8.15,MB/s
correlation-fio-randread-cores1,pcm_memory,memreadbw,SKT0CHAN6,3,8.1,MB/s
correlation-fio-randread-cores1,pcm_memory,memreadbw,SKT0CHAN7,0,12.22,MB/s
correlation-fio-randread-cores1,pcm_memory,memreadbw,SKT0CHAN7,1,8.44,MB/s
correlation-fio-randread-cores1,pcm_memory,memreadbw,SKT0CHAN7,2,8.16,MB/s
correlation-fio-randread-cores1,pcm_memory,memreadbw,SKT0CHAN7,3,8.24,MB/s
correlation-fio-randread-cores1,pcm_memory,memwritebw,SKT0CHAN0,0,879.31,MB/s
correlation-fio-randread-cores1,pcm_memory,memwritebw,SKT0CHAN0,1,877.25,MB/s
correlation-fio-randread-cores1,pcm_memory,memwritebw,SKT0CHAN0,2,875.74,MB/s
correlation-fio-randread-cores1,pcm_memory,memwritebw,SKT0CHAN0,3,876.8,MB/s
correlation-fio-randread-cores1,pcm_memory,memwritebw,SKT0CHAN1,0,879.38,MB/s
correlation-fio-randread-cores1,pcm_memory,memwritebw,SKT0CHAN1,1,877.3,MB/s
correlation-fio-randread-cores1,pcm_memory,memwritebw,SKT0CHAN1,2,875.73,MB/s
