experiment,collection_window,metric,scope,sample_index,value,unit
correlation-fio-randwrite-cores1,pcm_memory,memreadbw,SKT0CHAN0,0,193.13,MB/s
correlation-fio-randwrite-cores1,pcm_memory,memreadbw,SKT0CHAN0,1,188.83,MB/s
correlation-fio-randwrite-cores1,pcm_memory,memreadbw,SKT0CHAN0,2,191.89,MB/s
correlation-fio-randwrite-cores1,pcm_memory,memreadbw,SKT0CHAN0,3,193.71,MB/s
correlation-fio-randwrite-cores1,pcm_memory,memreadbw,SKT0CHAN1,0,193.75,MB/s
correlation-fio-randwrite-cores1,pcm_memory,memreadbw,SKT0CHAN1,1,189.48,MB/s
correlation-fio-randwrite-cores1,pcm_memory,memreadbw,SKT0CHAN1,2,192.52,MB/s
correlation-fio-randwrite-cores1,pcm_memory,memreadbw,SKT0CHAN1,3,194.35,MB/s
correlation-fio-randwrite-cores1,pcm_memory,memreadbw,SKT0CHAN2,0,193.04,MB/s
correlation-fio-randwrite-cores1,pcm_memory,memreadbw,SKT0CHAN2,1,188.81,MB/s
correlation-fio-randwrite-cores1,pcm_memory,memreadbw,SKT0CHAN2,2,191.85,MB/s
correlation-fio-randwrite-cores1,pcm_memory,memreadbw,SKT0CHAN2,3,193.67,MB/s
correlation-fio-randwrite-cores1,pcm_memory,memreadbw,SKT0CHAN3,0,193.71,MB/s
correlation-fio-randwrite-cores1,pcm_memory,memreadbw,SKT0CHAN3,1,189.46,MB/s
correlation-fio-randwrite-cores1,pcm_memory,memreadbw,SKT0CHAN3,2,192.5,MB/s
correlation-fio-randwrite-cores1,pcm_memory,memreadbw,SKT0CHAN3,3,194.32,MB/s
correlation-fio-randwrite-cores1,pcm_memory,memreadbw,SKT0CHAN4,0,193.14,MB/s
correlation-fio-randwrite-cores1,pcm_memory,memreadbw,SKT0CHAN4,1,188.86,MB/s
correlation-fio-randwrite-cores1,pcm_memory,memreadbw,SKT0CHAN4,2,191.91,MB/s
correlation-fio-randwrite-cores1,pcm_memory,memreadbw,SKT0CHAN4,3,193.71,MB/s
correlation-fio-randwrite-cores1,pcm_memory,memreadbw,SKT0CHAN5,0,193.09,MB/s
correlation-fio-randwrite-cores1,pcm_memory,memreadbw,SKT0CHAN5,1,188.84,MB/s
correlation-fio-randwrite-cores1,pcm_memory,memreadbw,SKT0CHAN5,2,191.88,MB/s
correlation-fio-randwrite-cores1,pcm_memory,memreadbw,SKT0CHAN5,3,193.71,MB/s
correlation-fio-randwrite-cores1,pcm_memory,memreadbw,SKT0CHAN6,0,193.21,MB/s
correlation-fio-randwrite-cores1,pcm_memory,memreadbw,SKT0CHAN6,1,188.9,MB/s
