experiment,collection_window,metric,scope,sample_index,value,unit
correlation-gapbs-bc-cores1,pcm_memory,memreadbw,SKT0CHAN0,0,445.59,MB/s
correlation-gapbs-bc-cores1,pcm_memory,memreadbw,SKT0CHAN0,1,444.41,MB/s
correlation-gapbs-bc-cores1,pcm_memory,memreadbw,SKT0CHAN0,2,444.41,MB/s
correlation-gapbs-bc-cores1,pcm_memory,memreadbw,SKT0CHAN0,3,443.7,MB/s
correlation-gapbs-bc-cores1,pcm_memory,memreadbw,SKT0CHAN1,0,446.37,MB/s
correlation-gapbs-bc-cores1,pcm_memory,memreadbw,SKT0CHAN1,1,444.64,MB/s
correlation-gapbs-bc-cores1,pcm_memory,memreadbw,SKT0CHAN1,2,445.09,MB/s
correlation-gapbs-bc-cores1,pcm_memory,memreadbw,SKT0CHAN1,3,444.66,MB/s
correlation-gapbs-bc-cores1,pcm_memory,memreadbw,SKT0CHAN2,0,446.2,MB/s
correlation-gapbs-bc-cores1,pcm_memory,memreadbw,SKT0CHAN2,1,444.6,MB/s
correlation-gapbs-bc-cores1,pcm_memory,memreadbw,SKT0CHAN2,2,445.04,MB/s
correlation-gapbs-bc-cores1,pcm_memory,memreadbw,SKT0CHAN2,3,444.63,MB/s
correlation-gapbs-bc-cores1,pcm_memory,memreadbw,SKT0CHAN3,0,447.25,MB/s
correlation-gapbs-bc-cores1,pcm_memory,memreadbw,SKT0CHAN3,1,445.74,MB/s
correlation-gapbs-bc-cores1,pcm_memory,memreadbw,SKT0CHAN3,2,445.65,MB/s
correlation-gapbs-bc-cores1,pcm_memory,memreadbw,SKT0CHAN3,3,445.75,MB/s
correlation-gapbs-bc-cores1,pcm_memory,memreadbw,SKT0CHAN4,0,449.76,MB/s
correlation-gapbs-bc-cores1,pcm_memory,memreadbw,SKT0CHAN4,1,448.33,MB/s
correlation-gapbs-bc-cores1,pcm_memory,memreadbw,SKT0CHAN4,2,448.47,MB/s
correlation-gapbs-bc-cores1,pcm_memory,memreadbw,SKT0CHAN4,3,448.35,MB/s
correlation-gapbs-bc-cores1,pcm_memory,memreadbw,SKT0CHAN5,0,449.86,MB/s
correlation-gapbs-bc-cores1,pcm_memory,memreadbw,SKT0CHAN5,1,448.39,MB/s
correlation-gapbs-bc-cores1,pcm_memory,memreadbw,SKT0CHAN5,2,448.45,MB/s
correlation-gapbs-bc-cores1,pcm_memory,memreadbw,SKT0CHAN5,3,448.21,MB/s
correlation-gapbs-bc-cores1,pcm_memory,memreadbw,SKT0CHAN6,0,450.77,MB/s
correlation-gapbs-bc-cores1,pcm_memory,memreadbw,SKT0CHAN6,1,449.1,MB/s
correlation-gapbs-bc-cores1,pcm_memory,memreadbw,SKT0CHAN6,2,449.43,MB/s
correlation-gapbs-bc-cores1,pcm_memory,memreadbw,SKT0CHAN6,3,449.03,MB/s
correlation-gapbs-bc-cores1,pcm_memory,memreadbw,SKT0CHAN7,0,451.1,MB/s
correlation-gapbs-bc-cores1,pcm_memory,memreadbw,SKT0CHAN7,1,449.72,MB/s
correlation-gapbs-bc-cores1,pcm_memory,memreadbw,SKT0CHAN7,2,449.77,MB/s
correlation-gapbs-bc-cores1,pcm_memory,memreadbw,SKT0CHAN7,3,449.68,MB/s
correlation-gapbs-bc-cores1,pcm_memory,memwritebw,SKT0CHAN0,0,94.32,MB/s
correlation-gapbs-bc-cores1,pcm_memory,memwritebw,SKT0CHAN0,1,92.85,MB/s
correlation-gapbs-bc-cores1,pcm_memory,memwritebw,SKT0CHAN0,2,93.19,MB/s
correlation-gapbs-bc-cores1,pcm_memory,memwritebw,SKT0CHAN0,3,92.8,MB/s
correlation-gapbs-bc-cores1,pcm_memory,memwritebw,SKT0CHAN1,0,94.14,MB/s
correlation-gapbs-bc-cores1,pcm_memory,memwritebw,SKT0CHAN1,1,92.77,MB/s
correlation-gapbs-bc-cores1,pcm_memory,memwritebw,SKT0CHAN1,2,92.91,MB/s
correlation-gapbs-bc-cores1,pcm_memory,memwritebw,SKT0CHAN1,3,92.77,MB/s
correlation-gapbs-bc-cores1,pcm_memory,memwritebw,SKT0CHAN2,0,94.29,MB/s
correlation-gapbs-bc-cores1,pcm_memory,memwritebw,SKT0CHAN2,1,92.74,MB/s
correlation-gapbs-bc-cores1,pcm_memory,memwritebw,SKT0CHAN2,2,92.96,MB/s
correlation-gapbs-bc-cores1,pcm_memory,memwritebw,SKT0CHAN2,3,92.82,MB/s
correlation-gapbs-bc-cores1,pcm_memory,memwritebw,SKT0CHAN3,0,94.22,MB/s
correlation-gapbs-bc-cores1,pcm_memory,memwritebw,SKT0CHAN3,1,92.64,MB/s
