experiment,collection_window,metric,scope,sample_index,value,unit
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN0,0,838.34,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN0,1,839.22,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN0,2,839.22,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN0,3,837.45,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN0,4,837.91,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN0,5,842.34,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN0,6,838.74,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN0,7,841.18,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN0,8,839.33,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN0,9,846.97,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN0,10,838.04,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN0,11,838.67,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN0,12,838.04,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN0,13,839.32,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN0,14,837.48,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN0,15,838.28,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN0,16,837.54,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN0,17,838.75,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN0,18,839.25,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN0,19,837.59,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN0,20,838.58,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN0,21,837.88,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN0,22,838.41,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN0,23,837.54,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN0,24,838.37,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN0,25,837.47,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN0,26,838.62,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN0,27,783.65,MB/s
