experiment,collection_window,metric,scope,sample_index,value,unit
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,0,36.41,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,1,37.83,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,2,26.83,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,3,26.58,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,4,26.42,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,5,26.93,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,6,26.76,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,7,29.05,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,8,26.64,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,9,26.52,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,10,26.53,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,11,31.58,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,12,27.69,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,13,26.58,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,14,26.43,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,15,26.33,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,16,26.66,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,17,27.7,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,18,26.76,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,19,26.36,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,20,26.64,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,21,26.91,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,22,26.93,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,23,26.55,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,24,26.49,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,25,26.81,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,26,26.57,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,27,26.91,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,28,27.51,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,29,26.62,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,30,26.8,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,31,31.24,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,32,26.46,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,33,26.9,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,34,28.01,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,35,30.14,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,36,33.4,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,37,29.1,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,38,27.02,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,39,26.72,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,40,26.59,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,41,26.67,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,42,32.43,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,43,26.82,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,44,26.69,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,45,26.69,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,46,26.45,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,47,27.03,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,48,26.94,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,49,26.58,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,50,26.88,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,51,26.54,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,52,26.31,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,53,26.73,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,54,26.35,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,55,26.67,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,56,26.22,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,57,27.16,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,58,26.76,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN0,59,26.46,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN1,0,37.05,MB/s
correlation-redis-get-cores2,pcm_memory,memreadbw,SKT0CHAN1,1,38.44,MB/s
