experiment,collection_window,metric,scope,sample_index,value,unit
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,0,195.06,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,1,185.0,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,2,184.03,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,3,184.16,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,4,184.26,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,5,183.5,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,6,182.97,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,7,184.26,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,8,184.41,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,9,184.85,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,10,186.13,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,11,185.08,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,12,184.95,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,13,185.0,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,14,183.39,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,15,182.98,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,16,184.43,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,17,184.52,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,18,184.21,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,19,189.98,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,20,185.57,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,21,184.88,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,22,185.07,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,23,184.38,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,24,185.35,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,25,185.07,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,26,184.64,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,27,185.39,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,28,187.7,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,29,185.74,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,30,188.96,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,31,186.9,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,32,189.13,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,33,196.3,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,34,185.33,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,35,184.81,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,36,184.86,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,37,184.61,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,38,185.25,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,39,184.71,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,40,185.37,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,41,184.87,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,42,184.73,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,43,184.89,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,44,185.32,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,45,184.52,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,46,184.64,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,47,183.95,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,48,184.29,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,49,184.72,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,50,191.74,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,51,184.49,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,52,184.31,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,53,184.1,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,54,184.82,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,55,183.83,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,56,188.0,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,57,185.09,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,58,184.16,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN0,59,184.86,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,0,196.0,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,1,185.59,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,2,184.91,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,3,184.87,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,4,185.02,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,5,184.71,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,6,183.91,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,7,185.16,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,8,185.48,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,9,185.79,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,10,186.96,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,11,186.11,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,12,185.62,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,13,185.81,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,14,184.25,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,15,183.89,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,16,185.6,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,17,185.58,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,18,185.37,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,19,190.67,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,20,186.46,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,21,185.59,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,22,185.96,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,23,185.48,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,24,186.15,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,25,186.01,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,26,185.51,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,27,186.11,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,28,188.68,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,29,186.58,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,30,189.88,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,31,187.65,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,32,190.02,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,33,197.51,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,34,186.33,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,35,185.58,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,36,185.63,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,37,185.56,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,38,186.13,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,39,185.27,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,40,186.54,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,41,185.55,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,42,185.74,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,43,185.61,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,44,186.09,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,45,185.41,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,46,185.67,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,47,184.97,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,48,185.02,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,49,185.15,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,50,192.53,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,51,185.68,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,52,185.17,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,53,184.95,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,54,185.85,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,55,184.65,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,56,188.69,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,57,186.06,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,58,185.07,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN1,59,185.82,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,0,194.95,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,1,185.07,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,2,184.05,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,3,184.5,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,4,184.51,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,5,183.79,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,6,183.5,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,7,184.53,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,8,184.68,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,9,184.84,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,10,186.59,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,11,185.11,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,12,184.77,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,13,185.32,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,14,183.23,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,15,182.98,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,16,184.8,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,17,184.66,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,18,184.43,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,19,189.94,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,20,185.54,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,21,184.86,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,22,185.3,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,23,184.94,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,24,185.39,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,25,185.35,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,26,184.83,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,27,185.25,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,28,187.85,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,29,185.64,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,30,188.67,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,31,187.05,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,32,189.32,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,33,196.31,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,34,185.65,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,35,185.14,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,36,185.05,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,37,184.44,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,38,185.14,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,39,184.72,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,40,185.74,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,41,184.79,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,42,185.34,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,43,184.98,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,44,185.5,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,45,184.97,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,46,184.9,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,47,184.23,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,48,184.25,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,49,184.96,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,50,191.6,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,51,185.18,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,52,184.82,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,53,184.36,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,54,184.59,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,55,183.83,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,56,187.76,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,57,185.46,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,58,184.44,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN2,59,184.87,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,0,195.86,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,1,185.97,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,2,184.78,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,3,185.09,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,4,185.35,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,5,184.35,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,6,183.99,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,7,185.16,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,8,185.24,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,9,185.68,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,10,187.42,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,11,185.83,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,12,185.16,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,13,186.02,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,14,184.28,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,15,183.83,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,16,185.48,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,17,185.31,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,18,185.32,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,19,190.8,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,20,186.49,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,21,186.06,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,22,186.36,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,23,185.78,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,24,185.77,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,25,186.29,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,26,185.09,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,27,185.88,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,28,188.79,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,29,186.51,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,30,189.49,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,31,187.78,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,32,190.23,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,33,196.93,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,34,186.33,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,35,186.16,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,36,185.93,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,37,185.3,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,38,185.63,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,39,185.52,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,40,186.27,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,41,185.64,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,42,185.7,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,43,185.93,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,44,186.52,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,45,185.61,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,46,185.57,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,47,185.01,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,48,185.12,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,49,185.79,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,50,192.25,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,51,185.95,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,52,185.45,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,53,185.4,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,54,185.44,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,55,184.67,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,56,188.42,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,57,186.46,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,58,185.29,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN3,59,185.65,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN4,0,195.12,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN4,1,185.03,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN4,2,184.31,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN4,3,184.59,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN4,4,184.56,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN4,5,183.73,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN4,6,183.62,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN4,7,184.58,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN4,8,184.71,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN4,9,185.04,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN4,10,186.7,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN4,11,185.38,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN4,12,184.67,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN4,13,185.61,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN4,14,183.6,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN4,15,183.3,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN4,16,184.88,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN4,17,184.73,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN4,18,184.54,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN4,19,190.42,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN4,20,186.14,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN4,21,185.29,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN4,22,185.71,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN4,23,185.03,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN4,24,185.52,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN4,25,185.52,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN4,26,185.04,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN4,27,185.29,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN4,28,188.24,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN4,29,185.68,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN4,30,189.07,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN4,31,187.41,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN4,32,189.6,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN4,33,196.61,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN4,34,185.84,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN4,35,185.66,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN4,36,185.4,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN4,37,184.79,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN4,38,185.13,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN4,39,184.91,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN4,40,185.88,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN4,41,184.95,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN4,42,185.4,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN4,43,185.48,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN4,44,185.69,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN4,45,185.11,MB/s
correlation-redis-set-cores2,pcm_memory,memreadbw,SKT0CHAN4,46,185.12,MB/s
