experiment,collection_window,metric,scope,sample_index,value,unit
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,0,2012.05,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,1,2011.41,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,2,2009.4,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,3,2011.54,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,4,2009.43,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,5,2011.64,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,6,2011.87,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,7,2009.7,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,8,2011.59,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,9,2009.35,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,10,2011.11,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,11,2009.58,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,12,2011.24,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,13,2009.69,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,14,2013.12,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,15,2008.77,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,16,2010.68,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,17,2010.23,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,18,2009.12,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,19,2015.15,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,20,2008.78,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,21,2012.72,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,22,2017.52,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,23,2013.07,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,24,2009.87,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,25,2011.32,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,26,2009.83,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,27,2011.2,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,28,2011.38,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,29,2009.33,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,30,2011.07,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,31,2009.37,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,32,2011.55,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,33,2009.56,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,34,2011.52,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,35,2009.49,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,36,2011.38,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,37,2009.52,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,38,2012.17,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,39,2009.4,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,40,2010.77,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,41,2010.98,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,42,2009.38,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,43,2011.12,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,44,2009.47,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,45,2010.83,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,46,2009.53,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,47,2017.4,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,48,2009.96,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,49,2012.58,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,50,2010.14,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,51,2011.86,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,52,2016.21,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,53,2012.89,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,54,2014.41,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,55,2018.09,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,56,2014.03,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,57,2009.51,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,58,2011.32,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN0,59,2009.25,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,0,2012.7,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,1,2012.15,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,2,2010.1,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,3,2012.27,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,4,2010.17,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,5,2012.38,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,6,2012.75,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,7,2010.56,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,8,2012.45,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,9,2010.35,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,10,2011.97,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,11,2010.39,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,12,2012.07,MB/s
