Linux 5.15.0-187-generic (node0.katieyan-315918.ldos-ut-pg0.wisc.cloudlab.us) 	09/14/26 	_x86_64_	(32 CPU)

05:13:58        CPU     %user     %nice   %system   %iowait    %steal     %idle
05:13:59        all      1.82      0.00      0.75      0.00      0.00     97.43
05:13:59          0      1.00      0.00      0.00      0.00      0.00     99.00
05:13:59          1      1.00      0.00      0.00      0.00      0.00     99.00
05:13:59          2      2.00      0.00      0.00      0.00      0.00     98.00
05:13:59          3      1.98      0.00      0.00      0.00      0.00     98.02
05:13:59          4      1.06      0.00     21.28      0.00      0.00     77.66
05:13:59          5      2.02      0.00      0.00      0.00      0.00     97.98
05:13:59          6      3.96      0.00      0.99      0.00      0.00     95.05
05:13:59          7      1.00      0.00      0.00      0.00      0.00     99.00
05:13:59          8      1.00      0.00      0.00      0.00      0.00     99.00
05:13:59          9      1.00      0.00      0.00      0.00      0.00     99.00
05:13:59         10      1.00      0.00      0.00      0.00      0.00     99.00
05:13:59         11      1.01      0.00      0.00      0.00      0.00     98.99
05:13:59         12      1.00      0.00      0.00      0.00      0.00     99.00
05:13:59         13      1.98      0.00      0.00      0.00      0.00     98.02
05:13:59         14      9.90      0.00      0.99      0.00      0.00     89.11
05:13:59         15      1.00      0.00      0.00      0.00      0.00     99.00
05:13:59         16      2.00      0.00      0.00      0.00      0.00     98.00
05:13:59         17      1.00      0.00      1.00      0.00      0.00     98.00
05:13:59         18      1.00      0.00      0.00      0.00      0.00     99.00
05:13:59         19      1.01      0.00      0.00      0.00      0.00     98.99
05:13:59         20      4.00      0.00      0.00      0.00      0.00     96.00
05:13:59         21      1.01      0.00      0.00      0.00      0.00     98.99
05:13:59         22      1.00      0.00      0.00      0.00      0.00     99.00
05:13:59         23      1.00      0.00      0.00      0.00      0.00     99.00
05:13:59         24      1.00      0.00      0.00      0.00      0.00     99.00
05:13:59         25      1.98      0.00      0.00      0.00      0.00     98.02
05:13:59         26      2.00      0.00      0.00      0.00      0.00     98.00
05:13:59         27      1.00      0.00      0.00      0.00      0.00     99.00
05:13:59         28      1.00      0.00      0.00      0.00      0.00     99.00
05:13:59         29      1.01      0.00      0.00      0.00      0.00     98.99
05:13:59         30      5.05      0.00      1.01      0.00      0.00     93.94
05:13:59         31      1.01      0.00      0.00      0.00      0.00     98.99

05:13:59        CPU     %user     %nice   %system   %iowait    %steal     %idle
05:14:00        all      0.03      0.00      0.50      0.00      0.00     99.47
05:14:00          0      0.00      0.00      0.00      0.00      0.00    100.00
05:14:00          1      0.00      0.00      0.00      0.00      0.00    100.00
05:14:00          2      0.00      0.00      0.00      0.00      0.00    100.00
05:14:00          3      0.00      0.00      0.00      0.00      0.00    100.00
05:14:00          4      0.00      0.00     16.49      0.00      0.00     83.51
05:14:00          5      0.00      0.00      0.00      0.00      0.00    100.00
05:14:00          6      0.00      0.00      0.00      0.00      0.00    100.00
05:14:00          7      0.00      0.00      0.00      0.00      0.00    100.00
05:14:00          8      0.00      0.00      0.00      0.00      0.00    100.00
05:14:00          9      0.00      0.00      0.00      0.00      0.00    100.00
05:14:00         10      0.00      0.00      0.00      0.00      0.00    100.00
05:14:00         11      0.00      0.00      0.00      0.00      0.00    100.00
05:14:00         12      0.00      0.00      0.00      0.00      0.00    100.00
05:14:00         13      0.00      0.00      0.00      0.00      0.00    100.00
05:14:00         14      0.00      0.00      0.00      0.00      0.00    100.00
05:14:00         15      0.00      0.00      0.00      0.00      0.00    100.00
05:14:00         16      0.00      0.00      0.00      0.00      0.00    100.00
05:14:00         17      0.00      0.00      0.00      0.00      0.00    100.00
05:14:00         18      0.00      0.00      0.00      0.00      0.00    100.00
05:14:00         19      0.00      0.00      0.00      0.00      0.00    100.00
05:14:00         20      0.00      0.00      0.00      0.00      0.00    100.00
05:14:00         21      0.00      0.00      0.00      0.00      0.00    100.00
05:14:00         22      0.00      0.00      0.00      0.00      0.00    100.00
05:14:00         23      0.00      0.00      0.00      0.00      0.00    100.00
05:14:00         24      0.00      0.00      0.00      0.00      0.00    100.00
05:14:00         25      0.00      0.00      0.00      0.00      0.00    100.00
05:14:00         26      1.00      0.00      0.00      0.00      0.00     99.00
05:14:00         27      0.00      0.00      0.00      0.00      0.00    100.00
