Linux 5.15.0-187-generic (node0.katieyan-315918.ldos-ut-pg0.wisc.cloudlab.us) 	09/14/26 	_x86_64_	(32 CPU)

04:13:46        CPU     %user     %nice   %system   %iowait    %steal     %idle
04:13:47        all      0.03      0.00      0.00      0.00      0.00     99.97
04:13:47          0      0.00      0.00      0.00      0.00      0.00    100.00
04:13:47          1      0.00      0.00      0.00      0.00      0.00    100.00
04:13:47          2      0.00      0.00      0.00      0.00      0.00    100.00
04:13:47          3      0.00      0.00      0.00      0.00      0.00    100.00
04:13:47          4      0.00      0.00      0.00      0.00      0.00    100.00
04:13:47          5      0.00      0.00      0.00      0.00      0.00    100.00
04:13:47          6      0.00      0.00      0.00      0.00      0.00    100.00
04:13:47          7      0.00      0.00      0.00      0.00      0.00    100.00
04:13:47          8      0.00      0.00      0.00      0.00      0.00    100.00
04:13:47          9      0.00      0.00      0.00      0.00      0.00    100.00
04:13:47         10      0.00      0.00      0.00      0.00      0.00    100.00
04:13:47         11      0.00      0.00      0.00      0.00      0.00    100.00
04:13:47         12      0.00      0.00      0.00      0.00      0.00    100.00
04:13:47         13      0.00      0.00      0.00      0.00      0.00    100.00
04:13:47         14      0.00      0.00      0.00      0.00      0.00    100.00
04:13:47         15      0.00      0.00      0.00      0.00      0.00    100.00
04:13:47         16      0.00      0.00      0.00      0.00      0.00    100.00
04:13:47         17      0.00      0.00      0.00      0.00      0.00    100.00
04:13:47         18      0.00      0.00      0.00      0.00      0.00    100.00
04:13:47         19      0.00      0.00      0.00      0.00      0.00    100.00
04:13:47         20      0.00      0.00      0.00      0.00      0.00    100.00
04:13:47         21      0.00      0.00      0.00      0.00      0.00    100.00
04:13:47         22      0.00      0.00      0.00      0.00      0.00    100.00
04:13:47         23      0.00      0.00      0.00      0.00      0.00    100.00
04:13:47         24      0.00      0.00      0.00      0.00      0.00    100.00
04:13:47         25      0.00      0.00      0.00      0.00      0.00    100.00
04:13:47         26      0.00      0.00      0.00      0.00      0.00    100.00
04:13:47         27      0.00      0.00      0.00      0.00      0.00    100.00
04:13:47         28      1.00      0.00      0.00      0.00      0.00     99.00
04:13:47         29      0.00      0.00      0.00      0.00      0.00    100.00
04:13:47         30      0.00      0.00      0.00      0.00      0.00    100.00
04:13:47         31      0.00      0.00      0.00      0.00      0.00    100.00

04:13:47        CPU     %user     %nice   %system   %iowait    %steal     %idle
04:13:48        all      0.03      0.00      0.00      0.00      0.00     99.97
04:13:48          0      0.00      0.00      0.00      0.00      0.00    100.00
04:13:48          1      0.00      0.00      0.00      0.00      0.00    100.00
04:13:48          2      0.00      0.00      0.00      0.00      0.00    100.00
04:13:48          3      0.00      0.00      0.00      0.00      0.00    100.00
04:13:48          4      0.00      0.00      0.00      0.00      0.00    100.00
04:13:48          5      0.00      0.00      0.00      0.00      0.00    100.00
04:13:48          6      0.00      0.00      0.00      0.00      0.00    100.00
04:13:48          7      0.00      0.00      0.00      0.00      0.00    100.00
04:13:48          8      0.00      0.00      0.00      0.00      0.00    100.00
04:13:48          9      0.00      0.00      0.00      0.00      0.00    100.00
04:13:48         10      0.00      0.00      0.00      0.00      0.00    100.00
04:13:48         11      0.00      0.00      0.00      0.00      0.00    100.00
04:13:48         12      0.00      0.00      0.00      0.00      0.00    100.00
04:13:48         13      0.00      0.00      0.00      0.00      0.00    100.00
04:13:48         14      0.00      0.00      0.00      0.00      0.00    100.00
04:13:48         15      0.00      0.00      0.00      0.00      0.00    100.00
