Linux 5.15.0-187-generic (node0.katieyan-315918.ldos-ut-pg0.wisc.cloudlab.us) 	09/14/26 	_x86_64_	(32 CPU)

03:59:55        CPU     %user     %nice   %system   %iowait    %steal     %idle
03:59:56        all      3.13      0.00      0.00      0.00      0.00     96.87
03:59:56          0      0.00      0.00      0.00      0.00      0.00    100.00
03:59:56          1      0.00      0.00      0.00      0.00      0.00    100.00
03:59:56          2      0.00      0.00      0.00      0.00      0.00    100.00
03:59:56          3      0.00      0.00      0.00      0.00      0.00    100.00
03:59:56          4    100.00      0.00      0.00      0.00      0.00      0.00
03:59:56          5      0.00      0.00      0.00      0.00      0.00    100.00
03:59:56          6      0.00      0.00      0.00      0.00      0.00    100.00
03:59:56          7      0.00      0.00      0.00      0.00      0.00    100.00
03:59:56          8      0.00      0.00      0.00      0.00      0.00    100.00
03:59:56          9      0.00      0.00      0.00      0.00      0.00    100.00
03:59:56         10      0.00      0.00      0.00      0.00      0.00    100.00
03:59:56         11      0.00      0.00      0.00      0.00      0.00    100.00
03:59:56         12      0.00      0.00      0.00      0.00      0.00    100.00
03:59:56         13      0.00      0.00      0.00      0.00      0.00    100.00
03:59:56         14      0.00      0.00      0.00      0.00      0.00    100.00
03:59:56         15      0.00      0.00      0.00      0.00      0.00    100.00
03:59:56         16      0.00      0.00      0.00      0.00      0.00    100.00
03:59:56         17      0.00      0.00      0.00      0.00      0.00    100.00
03:59:56         18      0.00      0.00      0.00      0.00      0.00    100.00
03:59:56         19      0.00      0.00      0.00      0.00      0.00    100.00
03:59:56         20      0.00      0.00      0.00      0.00      0.00    100.00
03:59:56         21      0.00      0.00      0.00      0.00      0.00    100.00
03:59:56         22      0.00      0.00      0.00      0.00      0.00    100.00
03:59:56         23      0.00      0.00      0.00      0.00      0.00    100.00
03:59:56         24      0.00      0.00      0.00      0.00      0.00    100.00
03:59:56         25      0.00      0.00      0.00      0.00      0.00    100.00
03:59:56         26      0.00      0.00      0.00      0.00      0.00    100.00
03:59:56         27      0.00      0.00      0.00      0.00      0.00    100.00
03:59:56         28      0.00      0.00      0.00      0.00      0.00    100.00
03:59:56         29      0.00      0.00      0.00      0.00      0.00    100.00
03:59:56         30      0.00      0.00      0.00      0.00      0.00    100.00
03:59:56         31      0.00      0.00      0.00      0.00      0.00    100.00

03:59:56        CPU     %user     %nice   %system   %iowait    %steal     %idle
03:59:57        all      3.19      0.00      0.00      0.00      0.00     96.81
03:59:57          0      0.00      0.00      0.00      0.00      0.00    100.00
03:59:57          1      0.00      0.00      0.00      0.00      0.00    100.00
03:59:57          2      1.98      0.00      0.00      0.00      0.00     98.02
03:59:57          3      0.00      0.00      0.00      0.00      0.00    100.00
03:59:57          4    100.00      0.00      0.00      0.00      0.00      0.00
03:59:57          5      0.00      0.00      0.00      0.00      0.00    100.00
03:59:57          6      0.00      0.00      0.00      0.00      0.00    100.00
03:59:57          7      0.00      0.00      0.00      0.00      0.00    100.00
03:59:57          8      0.00      0.00      0.00      0.00      0.00    100.00
03:59:57          9      0.00      0.00      0.00      0.00      0.00    100.00
03:59:57         10      0.00      0.00      0.00      0.00      0.00    100.00
03:59:57         11      0.00      0.00      0.00      0.00      0.00    100.00
03:59:57         12      0.00      0.00      0.00      0.00      0.00    100.00
03:59:57         13      0.00      0.00      0.00      0.00      0.00    100.00
03:59:57         14      0.00      0.00      0.00      0.00      0.00    100.00
03:59:57         15      0.00      0.00      0.00      0.00      0.00    100.00
03:59:57         16      0.00      0.00      0.00      0.00      0.00    100.00
03:59:57         17      0.00      0.00      0.00      0.00      0.00    100.00
03:59:57         18      0.00      0.00      0.00      0.00      0.00    100.00
03:59:57         19      0.00      0.00      0.00      0.00      0.00    100.00
03:59:57         20      0.00      0.00      0.00      0.00      0.00    100.00
03:59:57         21      0.00      0.00      0.00      0.00      0.00    100.00
03:59:57         22      0.00      0.00      0.00      0.00      0.00    100.00
03:59:57         23      0.00      0.00      0.00      0.00      0.00    100.00
03:59:57         24      0.00      0.00      0.00      0.00      0.00    100.00
03:59:57         25      0.00      0.00      0.00      0.00      0.00    100.00
03:59:57         26      0.00      0.00      0.00      0.00      0.00    100.00
03:59:57         27      0.00      0.00      0.00      0.00      0.00    100.00
03:59:57         28      0.00      0.00      0.00      0.00      0.00    100.00
03:59:57         29      0.00      0.00      0.00      0.00      0.00    100.00
03:59:57         30      0.00      0.00      0.00      0.00      0.00    100.00
03:59:57         31      0.00      0.00      0.00      0.00      0.00    100.00

03:59:57        CPU     %user     %nice   %system   %iowait    %steal     %idle
03:59:58        all      3.19      0.00      0.03      0.00      0.00     96.78
03:59:58          0      0.00      0.00      0.00      0.00      0.00    100.00
03:59:58          1      0.00      0.00      0.00      0.00      0.00    100.00
03:59:58          2      1.00      0.00      0.00      0.00      0.00     99.00
03:59:58          3      0.00      0.00      0.00      0.00      0.00    100.00
03:59:58          4    100.00      0.00      0.00      0.00      0.00      0.00
03:59:58          5      0.00      0.00      0.00      0.00      0.00    100.00
03:59:58          6      0.00      0.00      0.00      0.00      0.00    100.00
03:59:58          7      0.00      0.00      0.00      0.00      0.00    100.00
03:59:58          8      0.00      0.00      0.00      0.00      0.00    100.00
03:59:58          9      0.00      0.00      0.00      0.00      0.00    100.00
03:59:58         10      0.00      0.00      0.00      0.00      0.00    100.00
03:59:58         11      0.00      0.00      0.00      0.00      0.00    100.00
03:59:58         12      0.00      0.00      0.00      0.00      0.00    100.00
03:59:58         13      0.00      0.00      0.00      0.00      0.00    100.00
03:59:58         14      0.00      0.00      0.00      0.00      0.00    100.00
03:59:58         15      0.00      0.00      0.00      0.00      0.00    100.00
03:59:58         16      0.00      0.00      0.99      0.00      0.00     99.01
03:59:58         17      0.00      0.00      0.00      0.00      0.00    100.00
