Linux 5.15.0-187-generic (node0.katieyan-315918.ldos-ut-pg0.wisc.cloudlab.us) 	09/14/26 	_x86_64_	(32 CPU)

05:02:13        CPU     %user     %nice   %system   %iowait    %steal     %idle
05:02:14        all      0.28      0.00      0.09      0.00      0.00     99.62
05:02:14          0      2.00      0.00      1.00      0.00      0.00     97.00
05:02:14          1      0.99      0.00      0.99      0.00      0.00     98.02
05:02:14          2      0.00      0.00      0.00      0.00      0.00    100.00
05:02:14          3      2.02      0.00      0.00      0.00      0.00     97.98
05:02:14          4      0.00      0.00      0.00      0.00      0.00    100.00
05:02:14          5      0.00      0.00      0.00      0.00      0.00    100.00
05:02:14          6      0.00      0.00      0.00      0.00      0.00    100.00
05:02:14          7      0.00      0.00      0.00      0.00      0.00    100.00
05:02:14          8      0.00      0.00      0.00      0.00      0.00    100.00
05:02:14          9      0.00      0.00      0.00      0.00      0.00    100.00
05:02:14         10      0.00      0.00      0.00      0.00      0.00    100.00
05:02:14         11      0.00      0.00      0.00      0.00      0.00    100.00
05:02:14         12      0.00      0.00      0.00      0.00      0.00    100.00
05:02:14         13      1.98      0.00      0.00      0.00      0.00     98.02
05:02:14         14      0.00      0.00      0.00      0.00      0.00    100.00
05:02:14         15      0.00      0.00      0.00      0.00      0.00    100.00
05:02:14         16      0.00      0.00      0.00      0.00      0.00    100.00
05:02:14         17      0.00      0.00      0.00      0.00      0.00    100.00
05:02:14         18      0.00      0.00      0.00      0.00      0.00    100.00
05:02:14         19      0.00      0.00      0.00      0.00      0.00    100.00
05:02:14         20      1.00      0.00      0.00      0.00      0.00     99.00
05:02:14         21      0.00      0.00      0.00      0.00      0.00    100.00
05:02:14         22      0.00      0.00      0.99      0.00      0.00     99.01
05:02:14         23      0.00      0.00      0.00      0.00      0.00    100.00
05:02:14         24      0.00      0.00      0.00      0.00      0.00    100.00
05:02:14         25      0.00      0.00      0.00      0.00      0.00    100.00
05:02:14         26      0.00      0.00      0.00      0.00      0.00    100.00
05:02:14         27      0.00      0.00      0.00      0.00      0.00    100.00
05:02:14         28      0.00      0.00      0.00      0.00      0.00    100.00
05:02:14         29      0.00      0.00      0.00      0.00      0.00    100.00
05:02:14         30      0.00      0.00      0.00      0.00      0.00    100.00
05:02:14         31      1.00      0.00      0.00      0.00      0.00     99.00

05:02:14        CPU     %user     %nice   %system   %iowait    %steal     %idle
05:02:15        all      0.03      0.00      0.00      0.00      0.00     99.97
05:02:15          0      0.00      0.00      0.00      0.00      0.00    100.00
05:02:15          1      0.00      0.00      0.00      0.00      0.00    100.00
05:02:15          2      0.00      0.00      0.00      0.00      0.00    100.00
05:02:15          3      0.00      0.00      0.00      0.00      0.00    100.00
05:02:15          4      0.00      0.00      0.00      0.00      0.00    100.00
05:02:15          5      1.00      0.00      0.00      0.00      0.00     99.00
05:02:15          6      0.00      0.00      0.00      0.00      0.00    100.00
05:02:15          7      0.00      0.00      0.00      0.00      0.00    100.00
05:02:15          8      0.00      0.00      0.00      0.00      0.00    100.00
05:02:15          9      0.00      0.00      0.00      0.00      0.00    100.00
05:02:15         10      0.00      0.00      0.00      0.00      0.00    100.00
05:02:15         11      0.00      0.00      0.00      0.00      0.00    100.00
05:02:15         12      0.00      0.00      0.00      0.00      0.00    100.00
05:02:15         13      0.00      0.00      0.00      0.00      0.00    100.00
05:02:15         14      0.00      0.00      0.00      0.00      0.00    100.00
05:02:15         15      0.00      0.00      0.00      0.00      0.00    100.00
05:02:15         16      0.00      0.00      0.00      0.00      0.00    100.00
05:02:15         17      0.00      0.00      0.00      0.00      0.00    100.00
05:02:15         18      0.00      0.00      0.00      0.00      0.00    100.00
05:02:15         19      0.00      0.00      0.00      0.00      0.00    100.00
05:02:15         20      0.00      0.00      0.00      0.00      0.00    100.00
05:02:15         21      0.00      0.00      0.00      0.00      0.00    100.00
05:02:15         22      0.00      0.00      0.00      0.00      0.00    100.00
05:02:15         23      0.00      0.00      0.00      0.00      0.00    100.00
05:02:15         24      0.00      0.00      0.00      0.00      0.00    100.00
05:02:15         25      0.00      0.00      0.00      0.00      0.00    100.00
05:02:15         26      0.00      0.00      0.00      0.00      0.00    100.00
05:02:15         27      0.00      0.00      0.00      0.00      0.00    100.00
05:02:15         28      0.00      0.00      0.00      0.00      0.00    100.00
05:02:15         29      0.00      0.00      0.00      0.00      0.00    100.00
05:02:15         30      0.00      0.00      0.00      0.00      0.00    100.00
05:02:15         31      0.00      0.00      0.00      0.00      0.00    100.00

05:02:15        CPU     %user     %nice   %system   %iowait    %steal     %idle
05:02:16        all      0.06      0.00      0.03      0.00      0.00     99.91
05:02:16          0      0.00      0.00      0.00      0.00      0.00    100.00
05:02:16          1      0.00      0.00      0.00      0.00      0.00    100.00
05:02:16          2      0.00      0.00      0.00      0.00      0.00    100.00
05:02:16          3      0.00      0.00      0.00      0.00      0.00    100.00
05:02:16          4      0.00      0.00      0.00      0.00      0.00    100.00
05:02:16          5      0.00      0.00      0.99      0.00      0.00     99.01
05:02:16          6      0.00      0.00      0.00      0.00      0.00    100.00
05:02:16          7      0.00      0.00      0.00      0.00      0.00    100.00
05:02:16          8      0.00      0.00      0.00      0.00      0.00    100.00
05:02:16          9      0.00      0.00      0.00      0.00      0.00    100.00
05:02:16         10      0.00      0.00      0.00      0.00      0.00    100.00
05:02:16         11      0.00      0.00      0.00      0.00      0.00    100.00
05:02:16         12      0.00      0.00      0.00      0.00      0.00    100.00
05:02:16         13      0.00      0.00      0.00      0.00      0.00    100.00
05:02:16         14      0.00      0.00      0.00      0.00      0.00    100.00
05:02:16         15      0.00      0.00      0.00      0.00      0.00    100.00
05:02:16         16      0.00      0.00      0.00      0.00      0.00    100.00
05:02:16         17      0.00      0.00      0.00      0.00      0.00    100.00
05:02:16         18      0.00      0.00      0.00      0.00      0.00    100.00
05:02:16         19      0.00      0.00      0.00      0.00      0.00    100.00
05:02:16         20      0.00      0.00      0.00      0.00      0.00    100.00
05:02:16         21      0.00      0.00      0.00      0.00      0.00    100.00
05:02:16         22      0.00      0.00      0.00      0.00      0.00    100.00
05:02:16         23      0.00      0.00      0.00      0.00      0.00    100.00
05:02:16         24      0.00      0.00      0.00      0.00      0.00    100.00
05:02:16         25      0.00      0.00      0.00      0.00      0.00    100.00
05:02:16         26      0.00      0.00      0.00      0.00      0.00    100.00
05:02:16         27      0.00      0.00      0.00      0.00      0.00    100.00
05:02:16         28      0.00      0.00      0.00      0.00      0.00    100.00
05:02:16         29      0.00      0.00      0.00      0.00      0.00    100.00
05:02:16         30      0.00      0.00      0.00      0.00      0.00    100.00
05:02:16         31      1.98      0.00      0.00      0.00      0.00     98.02

05:02:16        CPU     %user     %nice   %system   %iowait    %steal     %idle
05:02:17        all      0.00      0.00      0.00      0.00      0.00    100.00
05:02:17          0      0.00      0.00      0.00      0.00      0.00    100.00
05:02:17          1      0.00      0.00      0.00      0.00      0.00    100.00
05:02:17          2      0.00      0.00      0.00      0.00      0.00    100.00
05:02:17          3      0.00      0.00      0.00      0.00      0.00    100.00
05:02:17          4      0.00      0.00      0.00      0.00      0.00    100.00
05:02:17          5      0.00      0.00      0.00      0.00      0.00    100.00
05:02:17          6      0.00      0.00      0.00      0.00      0.00    100.00
05:02:17          7      0.00      0.00      0.00      0.00      0.00    100.00
05:02:17          8      0.00      0.00      0.00      0.00      0.00    100.00
05:02:17          9      0.00      0.00      0.00      0.00      0.00    100.00
05:02:17         10      0.00      0.00      0.00      0.00      0.00    100.00
05:02:17         11      0.00      0.00      0.00      0.00      0.00    100.00
05:02:17         12      0.00      0.00      0.00      0.00      0.00    100.00
05:02:17         13      0.00      0.00      0.00      0.00      0.00    100.00
05:02:17         14      0.00      0.00      0.00      0.00      0.00    100.00
05:02:17         15      0.00      0.00      0.00      0.00      0.00    100.00
05:02:17         16      0.00      0.00      0.00      0.00      0.00    100.00
05:02:17         17      0.00      0.00      0.00      0.00      0.00    100.00
05:02:17         18      0.00      0.00      0.00      0.00      0.00    100.00
05:02:17         19      0.00      0.00      0.00      0.00      0.00    100.00
05:02:17         20      0.00      0.00      0.00      0.00      0.00    100.00
05:02:17         21      0.00      0.00      0.00      0.00      0.00    100.00
05:02:17         22      0.00      0.00      0.00      0.00      0.00    100.00
05:02:17         23      0.00      0.00      0.00      0.00      0.00    100.00
05:02:17         24      0.00      0.00      0.00      0.00      0.00    100.00
05:02:17         25      0.00      0.00      0.00      0.00      0.00    100.00
05:02:17         26      0.00      0.00      0.00      0.00      0.00    100.00
05:02:17         27      0.00      0.00      0.00      0.00      0.00    100.00
05:02:17         28      0.00      0.00      0.00      0.00      0.00    100.00
05:02:17         29      0.00      0.00      0.00      0.00      0.00    100.00
05:02:17         30      0.00      0.00      0.00      0.00      0.00    100.00
05:02:17         31      0.00      0.00      0.00      0.00      0.00    100.00

05:02:17        CPU     %user     %nice   %system   %iowait    %steal     %idle
05:02:18        all      0.06      0.00      0.00      0.00      0.00     99.94
05:02:18          0      0.00      0.00      0.00      0.00      0.00    100.00
05:02:18          1      0.00      0.00      0.00      0.00      0.00    100.00
05:02:18          2      0.00      0.00      0.00      0.00      0.00    100.00
05:02:18          3      0.00      0.00      0.00      0.00      0.00    100.00
05:02:18          4      0.00      0.00      0.00      0.00      0.00    100.00
05:02:18          5      0.00      0.00      0.00      0.00      0.00    100.00
05:02:18          6      0.00      0.00      0.00      0.00      0.00    100.00
05:02:18          7      0.00      0.00      0.00      0.00      0.00    100.00
05:02:18          8      0.00      0.00      0.00      0.00      0.00    100.00
05:02:18          9      0.00      0.00      0.00      0.00      0.00    100.00
05:02:18         10      0.00      0.00      0.00      0.00      0.00    100.00
05:02:18         11      0.00      0.00      0.00      0.00      0.00    100.00
05:02:18         12      0.00      0.00      0.00      0.00      0.00    100.00
05:02:18         13      0.00      0.00      0.00      0.00      0.00    100.00
05:02:18         14      0.00      0.00      0.00      0.00      0.00    100.00
05:02:18         15      0.00      0.00      0.00      0.00      0.00    100.00
05:02:18         16      0.00      0.00      0.00      0.00      0.00    100.00
05:02:18         17      0.00      0.00      0.00      0.00      0.00    100.00
05:02:18         18      0.00      0.00      0.00      0.00      0.00    100.00
05:02:18         19      0.00      0.00      0.00      0.00      0.00    100.00
05:02:18         20      0.00      0.00      0.00      0.00      0.00    100.00
05:02:18         21      0.00      0.00      0.00      0.00      0.00    100.00
05:02:18         22      0.00      0.00      0.00      0.00      0.00    100.00
05:02:18         23      0.00      0.00      0.00      0.00      0.00    100.00
05:02:18         24      0.00      0.00      0.00      0.00      0.00    100.00
05:02:18         25      0.00      0.00      0.00      0.00      0.00    100.00
05:02:18         26      0.00      0.00      0.00      0.00      0.00    100.00
05:02:18         27      0.00      0.00      0.00      0.00      0.00    100.00
05:02:18         28      0.00      0.00      0.00      0.00      0.00    100.00
05:02:18         29      0.00      0.00      0.00      0.00      0.00    100.00
05:02:18         30      0.00      0.00      0.00      0.00      0.00    100.00
05:02:18         31      1.96      0.00      0.00      0.00      0.00     98.04

05:02:18        CPU     %user     %nice   %system   %iowait    %steal     %idle
05:02:19        all      0.00      0.00      0.03      0.00      0.00     99.97
05:02:19          0      0.00      0.00      0.00      0.00      0.00    100.00
05:02:19          1      0.00      0.00      0.00      0.00      0.00    100.00
05:02:19          2      0.00      0.00      0.00      0.00      0.00    100.00
05:02:19          3      0.00      0.00      0.00      0.00      0.00    100.00
05:02:19          4      0.00      0.00      0.00      0.00      0.00    100.00
05:02:19          5      0.00      0.00      0.00      0.00      0.00    100.00
