Linux 5.15.0-187-generic (node0.katieyan-315918.ldos-ut-pg0.wisc.cloudlab.us) 	09/14/26 	_x86_64_	(32 CPU)

04:10:53        CPU     %user     %nice   %system   %iowait    %steal     %idle
04:10:54        all      2.60      0.00      1.28      0.00      0.00     96.12
04:10:54          0      0.00      0.00      0.99      0.00      0.00     99.01
04:10:54          1      0.00      0.00      0.00      0.00      0.00    100.00
04:10:54          2      0.00      0.00      0.00      0.00      0.00    100.00
04:10:54          3      0.00      0.00      0.00      0.00      0.00    100.00
04:10:54          4     74.49      0.00     18.37      0.00      0.00      7.14
04:10:54          5      7.22      0.00     22.68      0.00      0.00     70.10
04:10:54          6      0.00      0.00      0.00      0.00      0.00    100.00
04:10:54          7      0.00      0.00      0.00      0.00      0.00    100.00
04:10:54          8      0.00      0.00      0.00      0.00      0.00    100.00
04:10:54          9      0.00      0.00      0.00      0.00      0.00    100.00
04:10:54         10      0.00      0.00      0.00      0.00      0.00    100.00
04:10:54         11      0.00      0.00      0.00      0.00      0.00    100.00
04:10:54         12      0.00      0.00      0.00      0.00      0.00    100.00
04:10:54         13      0.00      0.00      0.00      0.00      0.00    100.00
04:10:54         14      0.99      0.00      0.00      0.00      0.00     99.01
04:10:54         15      0.00      0.00      0.00      0.00      0.00    100.00
04:10:54         16      1.00      0.00      0.00      0.00      0.00     99.00
04:10:54         17      0.00      0.00      0.00      0.00      0.00    100.00
04:10:54         18      0.00      0.00      0.00      0.00      0.00    100.00
04:10:54         19      0.00      0.00      0.00      0.00      0.00    100.00
04:10:54         20      0.00      0.00      0.00      0.00      0.00    100.00
04:10:54         21      0.00      0.00      0.00      0.00      0.00    100.00
04:10:54         22      0.00      0.00      0.00      0.00      0.00    100.00
04:10:54         23      0.00      0.00      0.00      0.00      0.00    100.00
04:10:54         24      0.00      0.00      0.00      0.00      0.00    100.00
04:10:54         25      0.00      0.00      0.00      0.00      0.00    100.00
04:10:54         26      0.00      0.00      0.00      0.00      0.00    100.00
04:10:54         27      0.00      0.00      0.00      0.00      0.00    100.00
04:10:54         28      0.99      0.00      0.00      0.00      0.00     99.01
04:10:54         29      0.00      0.00      0.00      0.00      0.00    100.00
04:10:54         30      0.00      0.00      0.00      0.00      0.00    100.00
04:10:54         31      0.00      0.00      0.00      0.00      0.00    100.00

04:10:54        CPU     %user     %nice   %system   %iowait    %steal     %idle
04:10:55        all      2.63      0.00      1.32      0.00      0.00     96.05
04:10:55          0      0.00      0.00      0.00      0.00      0.00    100.00
04:10:55          1      0.00      0.00      0.00      0.00      0.00    100.00
04:10:55          2      0.00      0.00      0.00      0.00      0.00    100.00
04:10:55          3      0.00      0.00      0.00      0.00      0.00    100.00
04:10:55          4     75.00      0.00     16.67      0.00      0.00      8.33
04:10:55          5      7.29      0.00     22.92      0.00      0.00     69.79
04:10:55          6      0.00      0.00      0.00      0.00      0.00    100.00
04:10:55          7      0.00      0.00      0.00      0.00      0.00    100.00
04:10:55          8      0.00      0.00      0.00      0.00      0.00    100.00
04:10:55          9      0.00      0.00      0.00      0.00      0.00    100.00
04:10:55         10      1.01      0.00      0.00      0.00      0.00     98.99
04:10:55         11      0.00      0.00      0.00      0.00      0.00    100.00
04:10:55         12      0.00      0.00      0.00      0.00      0.00    100.00
04:10:55         13      0.00      0.00      0.00      0.00      0.00    100.00
04:10:55         14      0.00      0.00      0.00      0.00      0.00    100.00
04:10:55         15      0.00      0.00      0.00      0.00      0.00    100.00
04:10:55         16      0.00      0.00      0.00      0.00      0.00    100.00
04:10:55         17      0.00      0.00      0.00      0.00      0.00    100.00
04:10:55         18      0.00      0.00      0.00      0.00      0.00    100.00
04:10:55         19      0.00      0.00      0.00      0.00      0.00    100.00
04:10:55         20      0.00      0.00      0.00      0.00      0.00    100.00
04:10:55         21      0.00      0.00      0.00      0.00      0.00    100.00
04:10:55         22      0.00      0.00      0.00      0.00      0.00    100.00
04:10:55         23      0.00      0.00      0.99      0.00      0.00     99.01
04:10:55         24      0.00      0.00      0.00      0.00      0.00    100.00
04:10:55         25      0.00      0.00      0.00      0.00      0.00    100.00
04:10:55         26      0.00      0.00      0.00      0.00      0.00    100.00
04:10:55         27      1.98      0.00      1.98      0.00      0.00     96.04
04:10:55         28      0.99      0.00      0.99      0.00      0.00     98.02
04:10:55         29      0.00      0.00      0.00      0.00      0.00    100.00
04:10:55         30      0.00      0.00      0.00      0.00      0.00    100.00
04:10:55         31      1.00      0.00      0.00      0.00      0.00     99.00

04:10:55        CPU     %user     %nice   %system   %iowait    %steal     %idle
04:10:56        all      2.91      0.00      0.85      0.00      0.00     96.24
04:10:56          0      0.00      0.00      0.00      0.00      0.00    100.00
04:10:56          1      0.00      0.00      0.00      0.00      0.00    100.00
04:10:56          2      0.00      0.00      0.00      0.00      0.00    100.00
04:10:56          3      0.00      0.00      0.00      0.00      0.00    100.00
04:10:56          4     81.73      0.00     11.54      0.00      0.00      6.73
04:10:56          5      8.79      0.00     16.48      0.00      0.00     74.73
04:10:56          6      0.00      0.00      0.00      0.00      0.00    100.00
04:10:56          7      0.00      0.00      0.00      0.00      0.00    100.00
04:10:56          8      0.00      0.00      0.00      0.00      0.00    100.00
04:10:56          9      0.00      0.00      0.00      0.00      0.00    100.00
04:10:56         10      0.00      0.00      0.00      0.00      0.00    100.00
04:10:56         11      0.00      0.00      0.00      0.00      0.00    100.00
04:10:56         12      0.00      0.00      0.00      0.00      0.00    100.00
04:10:56         13      0.00      0.00      0.00      0.00      0.00    100.00
04:10:56         14      0.00      0.00      0.00      0.00      0.00    100.00
04:10:56         15      0.00      0.00      0.00      0.00      0.00    100.00
04:10:56         16      0.00      0.00      0.00      0.00      0.00    100.00
04:10:56         17      0.00      0.00      0.00      0.00      0.00    100.00
04:10:56         18      0.00      0.00      0.00      0.00      0.00    100.00
04:10:56         19      0.00      0.00      0.00      0.00      0.00    100.00
04:10:56         20      0.00      0.00      0.00      0.00      0.00    100.00
04:10:56         21      0.00      0.00      0.00      0.00      0.00    100.00
04:10:56         22      0.00      0.00      0.00      0.00      0.00    100.00
04:10:56         23      0.00      0.00      0.00      0.00      0.00    100.00
04:10:56         24      0.00      0.00      0.00      0.00      0.00    100.00
04:10:56         25      0.00      0.00      0.00      0.00      0.00    100.00
04:10:56         26      0.00      0.00      0.00      0.00      0.00    100.00
04:10:56         27      0.00      0.00      0.00      0.00      0.00    100.00
04:10:56         28      0.00      0.00      0.00      0.00      0.00    100.00
04:10:56         29      0.00      0.00      0.00      0.00      0.00    100.00
04:10:56         30      0.00      0.00      0.00      0.00      0.00    100.00
04:10:56         31      0.00      0.00      0.00      0.00      0.00    100.00

04:10:56        CPU     %user     %nice   %system   %iowait    %steal     %idle
04:10:57        all      2.57      0.00      0.97      0.00      0.00     96.45
04:10:57          0      0.00      0.00      0.00      0.00      0.00    100.00
04:10:57          1      0.00      0.00      0.00      0.00      0.00    100.00
04:10:57          2      0.00      0.00      0.00      0.00      0.00    100.00
04:10:57          3      0.00      0.00      0.00      0.00      0.00    100.00
04:10:57          4     77.55      0.00     14.29      0.00      0.00      8.16
04:10:57          5      6.67      0.00     18.89      0.00      0.00     74.44
04:10:57          6      0.00      0.00      0.00      0.00      0.00    100.00
04:10:57          7      0.00      0.00      0.00      0.00      0.00    100.00
04:10:57          8      0.00      0.00      0.00      0.00      0.00    100.00
04:10:57          9      0.00      0.00      0.00      0.00      0.00    100.00
04:10:57         10      0.00      0.00      0.00      0.00      0.00    100.00
04:10:57         11      0.00      0.00      0.00      0.00      0.00    100.00
04:10:57         12      0.00      0.00      0.00      0.00      0.00    100.00
04:10:57         13      0.00      0.00      0.00      0.00      0.00    100.00
04:10:57         14      0.00      0.00      0.00      0.00      0.00    100.00
04:10:57         15      0.00      0.00      0.00      0.00      0.00    100.00
04:10:57         16      0.00      0.00      0.00      0.00      0.00    100.00
04:10:57         17      0.00      0.00      0.00      0.00      0.00    100.00
04:10:57         18      0.00      0.00      0.00      0.00      0.00    100.00
04:10:57         19      0.00      0.00      0.00      0.00      0.00    100.00
04:10:57         20      0.00      0.00      0.00      0.00      0.00    100.00
04:10:57         21      0.00      0.00      0.00      0.00      0.00    100.00
04:10:57         22      0.00      0.00      0.00      0.00      0.00    100.00
04:10:57         23      0.00      0.00      0.00      0.00      0.00    100.00
04:10:57         24      0.00      0.00      0.00      0.00      0.00    100.00
04:10:57         25      0.00      0.00      0.00      0.00      0.00    100.00
04:10:57         26      0.00      0.00      0.00      0.00      0.00    100.00
04:10:57         27      0.00      0.00      0.00      0.00      0.00    100.00
04:10:57         28      0.00      0.00      0.00      0.00      0.00    100.00
04:10:57         29      0.00      0.00      0.00      0.00      0.00    100.00
04:10:57         30      0.00      0.00      0.00      0.00      0.00    100.00
04:10:57         31      0.00      0.00      0.00      0.00      0.00    100.00

04:10:57        CPU     %user     %nice   %system   %iowait    %steal     %idle
04:10:58        all      3.41      0.00      1.94      0.03      0.00     94.62
04:10:58          0      0.00      0.00      0.00      0.00      0.00    100.00
04:10:58          1      0.00      0.00      0.00      0.00      0.00    100.00
04:10:58          2      0.00      0.00      0.00      0.00      0.00    100.00
04:10:58          3      0.00      0.00      0.00      0.00      0.00    100.00
04:10:58          4     72.73      0.00     20.20      0.00      0.00      7.07
04:10:58          5      9.90      0.00     22.77      0.00      0.00     67.33
04:10:58          6      0.00      0.00      0.00      0.00      0.00    100.00
04:10:58          7      0.00      0.00      0.00      0.00      0.00    100.00
04:10:58          8      0.00      0.00      0.00      0.00      0.00    100.00
04:10:58          9      0.00      0.00      0.00      0.00      0.00    100.00
04:10:58         10      0.00      0.00      0.00      0.00      0.00    100.00
04:10:58         11      0.00      0.00      0.00      0.00      0.00    100.00
04:10:58         12      0.00      0.00      0.00      0.00      0.00    100.00
04:10:58         13      0.00      0.00      0.00      0.00      0.00    100.00
04:10:58         14      0.00      0.00      0.00      0.00      0.00    100.00
04:10:58         15      0.00      0.00      0.00      0.00      0.00    100.00
04:10:58         16      1.00      0.00      0.00      0.00      0.00     99.00
04:10:58         17      0.00      0.00      0.00      0.00      0.00    100.00
04:10:58         18      0.00      0.00      0.00      0.00      0.00    100.00
04:10:58         19      0.00      0.00      0.00      0.00      0.00    100.00
04:10:58         20      0.00      0.00      0.00      0.00      0.00    100.00
04:10:58         21      0.00      0.00      0.00      0.00      0.00    100.00
04:10:58         22      0.00      0.00      0.00      0.00      0.00    100.00
04:10:58         23      0.00      0.00      0.00      0.00      0.00    100.00
04:10:58         24      0.00      0.00      0.00      0.99      0.00     99.01
04:10:58         25      0.00      0.00      0.00      0.00      0.00    100.00
04:10:58         26      0.00      0.00      0.00      0.00      0.00    100.00
04:10:58         27      0.00      0.00      0.00      0.00      0.00    100.00
